action,observation.state,timestamp,frame_index,episode_index,index,task_index
[0. 0. 0. 0. 0. 0. 0.],"[-1.0197706e-04 -8.8380111e-05  4.7589292e-05  3.3908422e-05
 -2.2040473e-04 -1.1867947e-04  0.0000000e+00]",0.0,0,0,0,0
[0. 0. 0. 0. 0. 0. 0.],"[-1.0877552e-04 -8.8380111e-05  5.4387761e-05  5.0862629e-05
 -2.2040473e-04 -1.2715657e-04  0.0000000e+00]",0.033333335,1,0,1,0
[0. 0. 0. 0. 0. 0. 0.],"[-1.0877552e-04 -8.1581646e-05  4.7589292e-05  3.3908422e-05
 -2.1192763e-04 -1.3563369e-04  2.2478000e+03]",0.06666667,2,0,2,0
[0. 0. 0. 0. 0. 0. 0.],"[-7.4783173e-05 -6.1186234e-05  6.7984702e-06  2.5431314e-05
 -1.6106499e-04 -1.0172526e-04  2.2478000e+03]",0.1,3,0,3,0
[0. 0. 0. 0. 0. 0. 0.],"[-4.7589292e-05 -5.4387761e-05  0.0000000e+00  2.5431314e-05
 -1.1867947e-04 -7.6293945e-05  2.2478000e+03]",0.13333334,4,0,4,0
[0. 0. 0. 0. 0. 0. 0.],"[-4.7589292e-05 -4.0790823e-05  6.7984702e-06  1.6954211e-05
 -8.4771047e-05 -4.2385524e-05  2.2478000e+03]",0.16666667,5,0,5,0
[0. 0. 0. 0. 0. 0. 0.],"[-4.0790823e-05 -3.3992354e-05  6.7984702e-06  1.6954211e-05
 -5.0862629e-05 -2.5431314e-05  2.2478000e+03]",0.2,6,0,6,0
[0. 0. 0. 0. 0. 0. 0.],"[-2.0395411e-05 -2.7193881e-05  0.0000000e+00 -0.0000000e+00
 -5.0862629e-05 -1.6954211e-05  2.2478000e+03]",0.23333333,7,0,7,0
[0. 0. 0. 0. 0. 0. 0.],"[-6.798470e-06 -2.719388e-05 -6.798470e-06  8.477105e-06 -3.390842e-05
 -8.477105e-06  2.247800e+03]",0.26666668,8,0,8,0
[0. 0. 0. 0. 0. 0. 0.],"[-0.000000e+00 -2.719388e-05  0.000000e+00  8.477105e-06 -1.695421e-05
 -8.477105e-06  2.247800e+03]",0.3,9,0,9,0
